msg_id,first_node_process_time,last_node_process_time
3 1,0.01664137840270996, 0.01703643798828125
2 1,0.017349720001220703, 0.017630815505981445
1 1,0.01036977767944336, 0.010635852813720703
1 2,0.004469871520996094, 0.004994869232177734
1 3,0.02038097381591797, 0.02424454689025879
2 2,0.003595113754272461, 0.004871368408203125
1 4,0.011933088302612305, 0.01512908935546875
2 3,0.0059986114501953125, 0.008550882339477539
1 5,0.003080606460571289, 0.004926919937133789
1 6,0.003912210464477539, 0.006337642669677734
1 7,0.012006044387817383, 0.015642404556274414
2 4,0.01177072525024414, 0.014522552490234375
3 2,0.00790548324584961, 0.010253190994262695
2 5,0.010325431823730469, 0.01383519172668457
2 6,0.011426925659179688, 0.014513492584228516
1 8,0.010923385620117188, 0.01580953598022461
3 3,0.009348869323730469, 0.012046098709106445
1 9,0.003869295120239258, 0.00592041015625
1 10,0.0018341541290283203, 0.0027201175689697266
3 4,0.0023162364959716797, 0.003064870834350586
3 5,0.004246950149536133, 0.0047473907470703125
1 11,0.0023615360260009766, 0.0032193660736083984
3 6,0.010954856872558594, 0.013148307800292969
1 12,0.003628253936767578, 0.005588531494140625
2 7,0.010578155517578125, 0.012933015823364258
1 13,0.006743192672729492, 0.008635997772216797
2 8,0.011468648910522461, 0.01355290412902832
2 9,0.010061979293823242, 0.011804819107055664
2 10,0.00264739990234375, 0.003541231155395508
3 7,0.003294229507446289, 0.004293203353881836
1 14,0.012124300003051758, 0.01547384262084961
2 11,0.00995635986328125, 0.013368368148803711
2 12,0.010575294494628906, 0.014356374740600586
1 15,0.010648250579833984, 0.014943361282348633
2 13,0.011521339416503906, 0.013601064682006836
2 14,0.010788679122924805, 0.013905763626098633
2 15,0.012245655059814453, 0.015470266342163086
2 16,0.010250329971313477, 0.010306835174560547
2 17,0.010651111602783203, 0.014558076858520508
2 18,0.003965854644775391, 0.004420042037963867
1 16,0.010887622833251953, 0.012643814086914062
2 19,0.012556076049804688, 0.01430511474609375
1 17,0.011953115463256836, 0.013621807098388672
2 20,0.011536836624145508, 0.014445304870605469
3 8,0.010993242263793945, 0.012925863265991211
