data, bandwidth
ask|3 1|DEPOSIT y 3|1|3|1681479835.9054925|                                                                                     ,870131.1377633711
feedback|2 1|1|3|3|1681479835.9062285|                                                                                          ,948535.1802120141
ask|2 1|DEPOSIT m 2|1|3|1681479835.906326|                                                                                      ,238821.58007117437
feedback|3 1|1|2|3|1681479835.9068577|                                                                                          ,338933.6565656566
ask|3 1|DEPOSIT y 3|1|3|1681479835.9054925|                                                                                     ,17994.064619922243
feedback|1 1|2|3|3|1681479835.9135475|                                                                                          ,38019.32667658098
ask|1 1|DEPOSIT w 15|1|3|1681479835.9136398|                                                                                    ,36311.86418667569
feedback|1 1|2|2|3|1681479835.9171474|                                                                                          ,426765.43084260734
feedback|2 1|1|3|3|1681479835.9062285|                                                                                          ,11423.27145835993
ask|2 1|DEPOSIT m 2|1|3|1681479835.906326|                                                                                      ,10898.49804104667
decided|3 1|1|1|3|1681479835.9179354|                                                                                           ,451152.02689075633
feedback|3 1|1|1|3|1681479835.9181657|                                                                                          ,207126.1234567901
feedback|3 1|1|2|3|1681479835.9068577|                                                                                          ,10902.924635974086
feedback|2 1|2|1|3|1681479835.9187536|                                                                                          ,245482.81298582532
feedback|1 1|2|3|3|1681479835.9135475|                                                                                          ,21711.930763942248
decided|2 1|2|1|3|1681479835.9191859|                                                                                           ,168774.25715183903
ask|1 1|DEPOSIT w 15|1|3|1681479835.9136398|                                                                                    ,18873.335864444914
feedback|1 1|2|2|3|1681479835.9171474|                                                                                          ,33729.40327951247
decided|3 1|1|1|3|1681479835.9179354|                                                                                           ,36714.14292552828
feedback|3 1|1|1|3|1681479835.9181657|                                                                                          ,22932.42116953569
decided|1 1|2|2|3|1681479835.9234703|                                                                                           ,1020667.1330798479
feedback|2 1|2|1|3|1681479835.9187536|                                                                                          ,22653.7369509262
decided|2 1|2|1|3|1681479835.9191859|                                                                                           ,22884.523103154304
decided|1 1|2|2|3|1681479835.9234703|                                                                                           ,74327.96788038212
feedback|1 2|3|3|3|1681479836.5612276|                                                                                          ,395048.5003679176
feedback|1 2|3|3|3|1681479836.5612276|                                                                                          ,992367.6746765249
ask|1 2|DEPOSIT b 3|2|3|1681479836.561426|                                                                                      ,163232.2626938279
