data, bandwidth
ask|1 1|DEPOSIT w 15|1|1|1681479835.9129913|                                                                                    ,683911.9898089172
ask|1 1|DEPOSIT w 15|1|1|1681479835.9129913|                                                                                    ,1116155.7422037423
feedback|3 1|1|1|1|1681479835.9170942|                                                                                          ,1462863.5204359672
feedback|3 1|1|1|1|1681479835.9170942|                                                                                          ,762600.7272727273
feedback|2 1|2|1|1|1681479835.9171298|                                                                                          ,191739.61142857143
feedback|2 1|2|1|1|1681479835.9171298|                                                                                          ,112245.64332009199
ask|3 1|DEPOSIT y 3|1|1|1681479835.9172525|                                                                                     ,145968.16530723218
ask|2 1|DEPOSIT m 2|1|1|1681479835.917325|                                                                                      ,77739.77874312192
ask|3 1|DEPOSIT y 3|1|1|1681479835.9172525|                                                                                     ,76597.3622485376
feedback|3 1|1|2|1|1681479835.9178061|                                                                                          ,77571.29200982516
ask|2 1|DEPOSIT m 2|1|1|1681479835.917325|                                                                                      ,54571.14372840008
feedback|2 1|1|3|1|1681479835.917995|                                                                                           ,64519.999038577094
feedback|3 1|1|2|1|1681479835.9178061|                                                                                          ,53962.298924515024
feedback|1 1|2|2|1|1681479835.919588|                                                                                           ,157071.65359859567
feedback|2 1|1|3|1|1681479835.917995|                                                                                           ,47700.65855175478
decided|1 1|2|2|1|1681479835.9200265|                                                                                           ,150131.68680089485
feedback|1 1|2|2|1|1681479835.919588|                                                                                           ,86508.36480825009
decided|1 1|2|2|1|1681479835.9200265|                                                                                           ,90672.33778078028
feedback|1 1|2|3|1|1681479835.9201598|                                                                                          ,38159.848745468764
feedback|1 1|2|3|1|1681479835.9201598|                                                                                          ,37241.32297447281
decided|2 1|2|1|1|1681479835.921655|                                                                                            ,54934.09516013507
decided|2 1|2|1|1|1681479835.921655|                                                                                            ,50221.78783910196
decided|3 1|1|1|1|1681479835.9236474|                                                                                           ,168721.21684475173
decided|3 1|1|1|1|1681479835.9236474|                                                                                           ,133417.22465208746
ask|1 2|DEPOSIT b 3|2|1|1681479836.5604632|                                                                                     ,505052.5983066792
ask|1 2|DEPOSIT b 3|2|1|1681479836.5604632|                                                                                     ,713924.085106383
feedback|1 2|3|3|1|1681479836.5622709|                                                                                          ,535799.3133732534
feedback|1 2|3|3|1|1681479836.5622709|                                                                                          ,1123160.9037656903
decided|1 2|3|2|1|1681479836.5632303|                                                                                           ,337654.6616352201
decided|1 2|3|2|1|1681479836.5632303|                                                                                           ,311410.04176334105
feedback|1 2|3|2|1|1681479836.565898|                                                                                           ,565127.2757894737
feedback|1 2|3|2|1|1681479836.565898|                                                                                           ,391876.57810218976
ask|1 3|DEPOSIT e 82|3|1|1681479837.3683538|                                                                                    ,253959.75023651845
ask|1 3|DEPOSIT e 82|3|1|1681479837.3683538|                                                                                    ,294984.0175824176
feedback|1 3|4|3|1|1681479837.3733454|                                                                                          ,194236.94356005787
feedback|1 3|4|3|1|1681479837.3733454|                                                                                          ,276595.008758372
decided|1 3|4|2|1|1681479837.3741374|                                                                                           ,64442.55335493938
decided|1 3|4|2|1|1681479837.3741374|                                                                                           ,36189.47839568588
feedback|1 3|4|2|1|1681479837.3788917|                                                                                          ,67058.57007244567
feedback|1 3|4|2|1|1681479837.3788917|                                                                                          ,37976.297092735374
feedback|2 2|3|1|1|1681479837.7162523|                                                                                          ,885925.597359736
