msg_id,first_node_process_time,last_node_process_time
6 1,2.7467269897460938, 3.2376863956451416
7 1,2.750413656234741, 3.2406694889068604
5 1,5.324353218078613, 6.8245344161987305
8 1,5.556286096572876, 8.378196001052856
7 2,5.6050169467926025, 8.425675392150879
6 2,8.759029865264893, 10.667834758758545
5 2,8.761043310165405, 10.66872525215149
2 1,9.13077974319458, 10.833502531051636
1 1,9.157979249954224, 10.859641075134277
4 1,9.15996503829956, 10.861846685409546
3 1,11.425266742706299, 13.329296588897705
6 3,11.763188362121582, 13.819950342178345
4 2,12.603437662124634, 14.868483781814575
5 3,13.309051275253296, 15.842246055603027
6 4,13.987894535064697, 17.440834522247314
3 2,13.937515258789062, 17.391419649124146
6 5,15.361586093902588, 18.84668469429016
5 4,15.365337133407593, 18.850610494613647
7 3,15.856657028198242, 20.066934823989868
2 2,16.200886726379395, 20.53035068511963
6 6,16.276015043258667, 20.616281509399414
5 5,16.27881360054016, 20.626209020614624
4 3,18.98711895942688, 23.202555179595947
1 2,19.588926076889038, 25.576874494552612
5 6,19.640188932418823, 25.628804206848145
6 7,20.37126636505127, 25.76057481765747
8 2,20.305314540863037, 25.692275285720825
3 3,20.32281470298767, 25.709081888198853
4 4,22.112797498703003, 29.307120084762573
5 7,22.19316029548645, 29.386420488357544
6 8,22.755874395370483, 29.899970531463623
5 8,24.059082508087158, 31.773894548416138
4 5,26.757914543151855, 35.89042806625366
6 9,27.190081357955933, 36.21979904174805
2 3,27.140026807785034, 36.172966957092285
1 3,27.357964038848877, 36.56030607223511
8 3,29.599596738815308, 36.71599459648132
3 4,29.631385564804077, 36.745099782943726
5 9,30.40869927406311, 37.403871297836304
2 4,30.593564748764038, 37.7532639503479
1 4,30.610195636749268, 37.76786732673645
4 6,30.62197256088257, 37.781394958496094
4 7,33.67524194717407, 43.53741645812988
1 5,34.389344692230225, 45.111671447753906
3 5,34.41173839569092, 45.13750195503235
5 10,34.97111487388611, 45.95981311798096
2 5,37.778887033462524, 47.79364848136902
4 8,37.80026602745056, 47.8179976940155
3 6,39.431061029434204, 50.83504796028137
2 6,40.85893774032593, 53.84270763397217
1 6,42.2028591632843, 57.58865284919739
3 7,42.21722674369812, 57.60487914085388
4 9,43.69978427886963, 59.127646923065186
2 7,43.71078610420227, 59.11239266395569
1 7,47.29632759094238, 62.663105726242065
2 8,47.294904470443726, 62.65978693962097
3 8,48.79483699798584, 66.66910886764526
1 8,49.099735498428345, 66.86065793037415
4 10,50.35466766357422, 67.88460516929626
1 9,51.769357681274414, 71.06257367134094
2 9,51.77062678337097, 71.06855273246765
3 9,52.19985008239746, 71.48296642303467
4 11,53.19738841056824, 71.7388813495636
2 10,54.45361089706421, 72.358469247818
4 12,54.682950496673584, 74.07484698295593
3 10,56.21398663520813, 75.46504378318787
4 13,57.370869398117065, 79.03551054000854
2 11,57.3739869594574, 79.0351791381836
1 10,59.41624140739441, 83.21666979789734
3 11,60.346516847610474, 84.80718350410461
4 14,62.112924098968506, 86.27233791351318
2 12,62.113720417022705, 86.26901769638062
1 11,63.34492778778076, 88.99084949493408
2 13,63.33495593070984, 88.97918963432312
2 14,65.6437304019928, 91.33837914466858
1 12,66.19321250915527, 93.76889967918396
1 13,73.30631065368652, 75.58868956565857
2 15,73.30606079101562, 75.58835029602051
5 11,75.93050861358643, 79.31982231140137
3 12,75.94178509712219, 79.3274552822113
1 14,77.1508104801178, 80.32499742507935
2 16,77.14424920082092, 80.33677077293396
6 10,78.32803654670715, 81.2592601776123
5 12,78.62750220298767, 81.62171292304993
1 15,80.79859948158264, 84.39295554161072
8 4,81.51197266578674, 85.08522772789001
1 16,86.07693982124329, 88.789146900177
2 17,86.08576893806458, 88.79895401000977
1 17,87.5564079284668, 91.31736063957214
5 13,88.20521068572998, 91.69119763374329
2 18,88.20003056526184, 91.68629598617554
5 14,91.48956513404846, 94.78323340415955
2 19,91.48721194267273, 94.77657008171082
