node,delay,bandwidth
B,0.008200645446777344,7804.263751599023
A,0.004805326461791992,13318.554006450013
C,0.004624843597412109,13838.305804722137
C,0.008047819137573242,7952.464997778107
B,0.008062601089477539,7937.8849690983825
A,0.002305746078491211,27756.74242580912
B,0.007993936538696289,8006.068060484953
C,0.007445812225341797,8595.43567082933
C,0.008898258209228516,7192.418841434007
C,0.0015783309936523438,40549.16253776435
C,0.002080678939819336,30759.190558038274
C,0.003383636474609375,18914.561443066515
B,0.0018889904022216797,33880.53212167109
C,0.002611875534057617,24503.464719306252
B,0.0023088455200195312,27719.481206113178
C,0.002155780792236328,29687.619553196197
A,0.0008301734924316406,77092.31935669156
B,0.004254817962646484,15041.771601479322
B,0.0022802352905273438,28067.27896277708
C,0.004152774810791016,15411.382248248938
B,0.00321197509765625,19925.434679334918
C,0.004724264144897461,13547.083320716629
C,0.004985332489013672,12837.659301769489
C,0.008550643920898438,7484.8164175775155
C,0.008033275604248047,7966.862230664213
B,0.002759218215942383,23194.975892162794
C,0.0061457157135009766,10413.758622027388
B,0.002702474594116211,23681.998764887518
B,0.005210399627685547,12283.126933284524
C,0.0026378631591796875,24262.062183658712
B,0.0022935867309570312,27903.893555093557
B,0.003884553909301758,16475.50825507887
C,0.0025751590728759766,24852.833626516065
C,0.002062559127807617,31029.413478210612
C,0.003125905990600586,20474.06422088323
C,0.004573822021484375,13992.673894912426
C,0.0052492618560791016,12192.190398328565
A,0.0033168792724609375,19295.245543415756
B,0.003517627716064453,18194.079978310965
A,0.007570028305053711,8454.39375137791
C,0.0027408599853515625,23350.335421016007
C,0.0033926963806152344,18864.051721714688
C,0.007829904556274414,8173.790566669712
C,0.002735137939453125,23399.18549511855
A,0.002709627151489258,23619.485789705235
B,0.005115509033203125,12510.97390007457
B,0.008768081665039062,7299.202088318469
B,0.008253335952758789,7754.440188346766
C,0.009092330932617188,7038.899097965177
C,0.0015113353729248047,42346.65657043698
B,0.0015494823455810547,41304.116941067856
B,0.0028846263885498047,22186.582031572856
C,0.003952980041503906,16190.317008443908
C,0.002430438995361328,26332.691387090446
B,0.0028100013732910156,22775.789580858647
C,0.005576610565185547,11476.50517315092
B,0.0022695064544677734,28199.963861750184
C,0.003123760223388672,20488.12822469852
A,0.0029091835021972656,21999.299786920175
C,0.007949590682983398,8050.728968599106
C,0.007831573486328125,8172.04870920604
C,0.006073474884033203,10537.624872418937
B,0.002475738525390625,25850.87211093991
B,0.0026276111602783203,24356.724072225752
B,0.0022602081298828125,28315.976371308017
B,0.001856088638305664,34481.11188182402
C,0.008210182189941406,7795.198513183877
B,0.0017726421356201172,36104.29804976463
C,0.0021409988403320312,29892.589755011137
C,0.00438690185546875,14588.88347826087
C,0.0021865367889404297,29270.031185257878
B,0.0016269683837890625,39336.96600234466
A,0.002178668975830078,29375.733858612388
B,0.002391338348388672,26763.25583250249
A,0.0019488334655761719,32840.15855150477
C,0.0019328594207763672,33111.56482052547
C,0.004664421081542969,13720.888161930076
C,0.002354860305786133,27177.832945226284
B,0.003906965255737305,16381.000549215842
B,0.0030312538146972656,21113.37549158408
C,0.002234220504760742,28645.337317255362
C,0.0034542083740234375,18528.123688569853
C,0.0033822059631347656,18922.561398561964
C,0.0037539005279541016,17048.933375674816
A,0.002301931381225586,27802.74013464526
C,0.00347900390625,18396.070175438595
C,0.0012180805206298828,52541.6825210413
C,0.002485036849975586,25754.145255684543
B,0.002415895462036133,26491.212474094544
C,0.0050585269927978516,12651.904416269972
B,0.001645803451538086,38886.78197884977
B,0.0014271736145019531,44843.87838289342
C,0.0014929771423339844,42867.367614180774
C,0.0030448436737060547,21019.141492443818
C,0.001268625259399414,50448.309716218755
C,0.00139617919921875,45839.38797814208
B,0.00115966796875,55188.21052631579
C,0.004572868347167969,13995.592075078206
C,0.004874467849731445,13129.638346784055
C,0.0031745433807373047,20160.379722117912
C,0.0033864974975585938,18898.581807941424
B,0.0017180442810058594,37251.659172911466
C,0.0036895275115966797,17346.394571890145
B,0.002140522003173828,29899.248830474495
A,0.0022842884063720703,28017.477925060015
