node,delay,bandwidth
B,0.02306056022644043,2775.301179657372
A,0.028934955596923828,2211.857550139253
C,0.025057315826416016,2554.1442843821956
B,0.009151220321655273,6993.602792903108
C,0.00776219367980957,8245.09186964401
C,0.007452249526977539,8588.010877563425
A,0.007292509078979492,8776.128943668878
A,0.00780797004699707,8196.752755809337
A,0.00783085823059082,8172.795128634495
B,0.010598182678222656,6038.771168901287
C,0.006833314895629883,9365.878929555842
A,0.008898258209228516,7192.418841434007
C,0.008965015411376953,7138.861124408276
B,0.00815439224243164,7848.530963101573
C,0.009198665618896484,6957.530869317298
A,0.00756525993347168,8459.722542623933
C,0.008121252059936523,7880.558259695271
A,0.006876230239868164,9307.425401338372
B,0.007695198059082031,8316.87495352584
B,0.007620334625244141,8398.581315311932
B,0.013761281967163086,4650.729499818084
A,0.006897687911987305,9278.471397462929
C,0.007593393325805664,8428.37941536626
B,0.007579803466796875,8443.49068948163
C,0.004322528839111328,14806.147600661887
C,0.008111238479614258,7890.2870579935925
B,0.007948875427246094,8051.453389322136
C,0.006803989410400391,9406.246268133717
A,0.0061168670654296875,10462.872466479575
C,0.009510040283203125,6729.729643000401
C,0.0065915584564208984,9709.388215719608
C,0.007515907287597656,8515.272681131835
C,0.0024514198303222656,26107.319198599493
C,0.0076978206634521484,8314.041440827577
A,0.006439685821533203,9938.373047019622
B,0.00804758071899414,7952.700598447592
B,0.008690118789672852,7364.686438585421
B,0.008083343505859375,7917.5158093440305
C,0.008303403854370117,7707.682430298331
B,0.00895833969116211,7144.1809762069515
C,0.00783085823059082,8172.795128634495
B,0.004135608673095703,15475.352011991237
B,0.008015871047973633,7984.160375955504
A,0.00764775276184082,8368.4713657761
B,0.007328510284423828,8733.01633157655
B,0.006321907043457031,10123.527530547593
B,0.007279634475708008,8791.650214521993
C,0.0069692134857177734,9183.245732270534
B,0.008831024169921875,7247.177537796976
C,0.009668588638305664,6619.373560525732
A,0.00648951530456543,9862.06164811345
C,0.0046045780181884766,13899.210687101951
B,0.008649349212646484,7399.400628480071
A,0.006806135177612305,9403.280765054122
A,0.00686192512512207,9326.82867169313
A,0.007561683654785156,8463.723546474965
C,0.008914470672607422,7179.338218775074
C,0.021339893341064453,2999.0777824950283
C,0.008713006973266602,7345.34015597209
A,0.007685661315917969,8327.194937337139
C,0.008296728134155273,7713.884192074485
A,0.00638270378112793,10027.098576818198
C,0.004286766052246094,14929.669410456063
B,0.009488821029663086,6744.778914043067
A,0.0072209835052490234,8863.058606002576
C,0.009258508682250977,6912.560348157495
A,0.007994890213012695,8005.113052813646
C,0.007835626602172852,8167.821573102085
C,0.007707357406616211,8303.754013672782
C,0.005408525466918945,11833.16975975314
C,0.0039539337158203125,16186.411963338158
B,0.0021085739135742188,30352.26775214835
C,0.004030942916870117,15877.178446797185
B,0.0041158199310302734,15549.75705265597
C,0.004186868667602539,15285.886680712943
B,0.009208917617797852,6949.785268608414
B,0.008921623229980469,7173.582469267772
A,0.006439924240112305,9938.005109029655
C,0.008272171020507812,7736.783952040581
A,0.00681304931640625,9393.737961926092
A,0.006732463836669922,9506.178057936115
C,0.007910490036010742,8090.522800566623
C,0.00890493392944336,7187.026934404284
C,0.007645845413208008,8370.558982194643
B,0.008670568466186523,7381.292270464982
B,0.0075566768646240234,8469.331314087396
A,0.007992029190063477,8007.978759583545
B,0.008270025253295898,7738.791362758382
C,0.0025620460510253906,24980.034989763633
A,0.006623983383178711,9661.859986322572
B,0.008911609649658203,7181.643105570121
B,0.007416963577270508,8628.868044617313
A,0.006364107131958008,10056.398906080245
C,0.002528667449951172,25309.773335847633
C,0.008440256118774414,7582.708285076693
C,0.008459329605102539,7565.611341281249
B,0.00847172737121582,7554.53961106577
A,0.006028652191162109,10615.971525745472
C,0.008076190948486328,7924.527838460176
B,0.007505893707275391,8526.632869576266
A,0.0063054561614990234,10149.939728513631
C,0.007932186126708984,8068.393627892997
C,0.023465633392333984,2727.3928186787507
B,0.008147716522216797,7854.9615497161585
C,0.008007049560546875,7992.956646021915
C,0.001787424087524414,35805.71641990129
C,0.008005380630493164,7994.622985972541
C,0.007546424865722656,8480.83710350057
C,0.00826573371887207,7742.809310911765
C,0.007854461669921875,8148.235065565808
C,0.0077724456787109375,8234.216441717792
C,0.007822036743164062,8182.012192148257
B,0.008757352828979492,7308.144510086848
B,0.0077135562896728516,8297.080827125768
A,0.0055806636810302734,11468.170034605033
A,0.007302761077880859,8763.808553705518
