node,delay,bandwidth
A,0.020534276962280273,3116.7398841246068
B,0.024029016494750977,2663.44650493625
C,0.02448725700378418,2613.604291820421
B,0.007224559783935547,8858.671242822256
A,0.00907588005065918,7051.657761315575
C,0.007025003433227539,9110.315832343458
B,0.007984161376953125,8015.870043000477
A,0.0079498291015625,8050.487523992322
C,0.009016752243041992,7097.899362754171
C,0.009920597076416016,6451.224609468878
A,0.00789499282836914,8106.403817116628
C,0.002828359603881836,22627.957177779652
C,0.007800102233886719,8205.020662672698
B,0.007404804229736328,8643.037413870823
A,0.007368564605712891,8685.545072154275
A,0.008094549179077148,7906.555211923065
B,0.007865667343139648,8136.626837622382
C,0.020973920822143555,3051.4084868877244
C,0.05305290222167969,1206.3430523099048
C,0.0019600391387939453,32652.40919596156
A,0.008428812026977539,7593.003592340113
B,0.008187294006347656,7816.990564938847
A,0.008042097091674805,7958.123269396105
B,0.007385730743408203,8665.357866873264
B,0.007578849792480469,8444.553164716244
C,0.007531642913818359,8497.481987970878
C,0.007383584976196289,8667.876134198716
C,0.004374980926513672,14628.635204359673
B,0.00757288932800293,8451.199697761547
C,0.00745081901550293,8589.659722888868
C,0.016314029693603516,3923.003770496595
A,0.0070493221282958984,9078.887137687287
A,0.00704193115234375,9088.416034669555
A,0.007463693618774414,8574.84286855135
C,0.007659196853637695,8355.967501945524
A,0.008453845977783203,7570.518810987647
A,0.003363370895385742,19028.528815481677
B,0.008996248245239258,7114.0766967906075
A,0.007448434829711914,8592.409205851285
B,0.003571748733520508,17918.393698685002
C,0.008376359939575195,7640.550365752996
C,0.007923603057861328,8077.13353794307
C,0.008151769638061523,7851.056008891229
B,0.007729768753051758,8279.678479997532
C,0.0038557052612304688,16598.779124412566
C,0.008274555206298828,7734.554716763672
C,0.02667713165283203,2399.058520716405
C,0.008072376251220703,7928.272668202493
B,0.00897836685180664,7128.245153752191
B,0.011841058731079102,5404.922098056982
A,0.009304046630859375,6878.727347273472
A,0.021529197692871094,2972.70715393134
C,0.007395267486572266,8654.183248436391
A,0.007391214370727539,8658.928937776202
B,0.007125139236450195,8982.28060900117
C,0.0064241886138916016,9962.347596956764
C,0.009193658828735352,6961.319882783123
A,0.008123159408569336,7878.707874732177
C,0.008292436599731445,7717.87631177942
C,0.00756525993347168,8459.722542623933
B,0.004540205001831055,14096.279787848553
C,0.008870124816894531,7215.231050424685
A,0.0041730403900146484,15336.539793178312
C,0.013570070266723633,4716.261503592951
C,0.007886648178100586,8114.980984914901
B,0.007691860198974609,8320.484036947493
C,0.008718490600585938,7340.720192518049
C,0.007883548736572266,8118.171414746265
C,0.007134914398193359,8969.974470360223
B,0.00790715217590332,8093.93806723956
B,0.007933378219604492,8067.18124718257
C,0.008207321166992188,7797.9158726469905
A,0.007852554321289062,8150.2142336652905
A,0.007680416107177734,8332.881852610666
B,0.0025327205657958984,25269.27007436694
B,0.007520437240600586,8510.143486668992
C,0.006831169128417969,9368.820885104007
B,0.007356405258178711,8699.90134500081
C,0.0068819522857666016,9299.686679369479
B,0.0075418949127197266,8485.9310214017
C,0.007708311080932617,8302.726670996875
C,0.007397890090942383,8651.115279254891
A,0.009329557418823242,6859.918121182694
C,0.007796525955200195,8208.78431852237
C,0.007484912872314453,8550.533732560361
B,0.0036301612854003906,17630.070668593195
C,0.007919788360595703,8081.024023119995
C,0.008088350296020508,7912.614767870302
A,0.007959127426147461,8041.082467123985
C,0.0070154666900634766,9122.700288870008
C,0.01688528060913086,3790.283471237751
C,0.006302833557128906,10154.163110909367
C,0.006291866302490234,10171.86267525578
C,0.006373167037963867,10042.103026448693
C,0.006020545959472656,10630.265167115476
B,0.007964372634887695,8035.786738512199
C,0.0061492919921875,10407.70223325062
C,0.006266117095947266,10213.661669583746
C,0.007361173629760742,8694.265781376518
B,0.009705781936645508,6594.007615023705
C,0.0068454742431640625,9349.242685984955
A,0.008050680160522461,7949.638878194687
A,0.007767438888549805,8239.524110623408
B,0.009321928024291992,6865.532520013299
C,0.0067594051361083984,9468.288808154915
C,0.0035202503204345703,18180.52529630884
A,0.00751805305480957,8512.84229220182
B,0.008273601531982422,7735.446256699902
C,0.006381988525390625,10028.222355050806
C,0.0072689056396484375,8804.626607189713
C,0.01536703109741211,4164.760232103516
B,0.007674217224121094,8339.612774947185
C,0.006795406341552734,9418.127008630974
C,0.006592512130737305,9707.98365339409
C,0.007724285125732422,8285.5563923699
C,0.006730794906616211,9508.535156388367
C,0.007153034210205078,8947.252049863342
C,0.00640416145324707,9993.501954506533
B,0.008987188339233398,7121.248335322987
C,0.006883382797241211,9297.754009213397
B,0.00751185417175293,8519.867204113372
B,0.008486747741699219,7541.169120125857
B,0.009331703186035156,6858.340725600408
B,0.008502721786499023,7527.00154221462
B,0.003262758255004883,19615.305516989403
A,0.002357959747314453,27142.10879676441
B,0.0023648738861083984,27062.753906643815
C,0.0026330947875976562,24305.999275624774
C,0.00666046142578125,9608.943871706759
C,0.0064928531646728516,9856.991737964969
B,0.007916688919067383,8084.18780304171
C,0.007717609405517578,8292.723385851097
A,0.007862567901611328,8139.834313784948
A,0.008108377456665039,7893.071128230762
C,0.006268739700317383,10209.38865857833
C,0.00744938850402832,8591.309201472235
C,0.00585174560546875,10936.907431551499
B,0.007486104965209961,8549.172139240103
B,0.007204532623291016,8883.296578198424
B,0.007441282272338867,8600.668225945981
C,0.006493330001831055,9856.267890581972
B,0.007092952728271484,9023.040537815126
C,0.007603168487548828,8417.54330511132
A,0.0047168731689453125,13568.310553983016
B,0.008434534072875977,7587.852446504791
B,0.007974624633789062,8025.456110978235
C,0.007038116455078125,9093.342005420054
C,0.014959096908569336,4278.33313676426
C,0.007708311080932617,8302.726670996875
A,0.007572650909423828,8451.465776714313
B,0.00894308090209961,7156.370461210344
A,0.00807809829711914,7922.656749896701
B,0.00501561164855957,12760.158577743974
A,0.008165836334228516,7837.531562043796
C,0.00745391845703125,8586.088024564995
C,0.008244752883911133,7762.512824961685
C,0.007019758224487305,9117.123119247359
B,0.00780034065246582,8204.769874988539
A,0.007524728775024414,8505.2899464529
A,0.009016990661621094,7097.711686938128
C,0.008982181549072266,7125.217816000425
A,0.010654926300048828,6006.611232938018
C,0.008885622024536133,7202.647133005984
C,0.007207155227661133,8880.064044460618
C,0.007498741149902344,8534.76586544576
C,0.0022933483123779297,27906.79446927955
A,0.0076389312744140625,8378.135330836454
C,0.004224061965942383,15151.292882542191
B,0.003220081329345703,19875.27439656449
A,0.002039670944213867,31377.610286382234
A,0.0023720264434814453,26981.149462257512
C,0.006952047348022461,9205.921190712987
A,0.006258487701416016,10226.112609523809
C,0.007520198822021484,8510.41329021622
C,0.00821828842163086,7787.509602552945
A,0.008235931396484375,7770.82723483094
C,0.008766651153564453,7300.393146586892
A,0.007997989654541016,8002.010850772074
C,0.005158662796020508,12406.315847853215
A,0.018538713455200195,3452.2352457013517
