node,delay,bandwidth
B,0.010589361190795898,6043.801778678375
C,0.002496004104614258,25640.98347502149
A,0.011530637741088867,5550.430204908711
A,0.008627653121948242,7418.008013927653
B,0.003436565399169922,18623.245178298876
C,0.0022690296173095703,28205.890091415364
A,0.008721590042114258,7338.111478636451
C,0.004369020462036133,14648.59241473397
A,0.008460044860839844,7564.971705557435
C,0.009645223617553711,6635.408626869361
C,0.005982160568237305,10698.475788131202
C,0.008861064910888672,7222.60819028144
C,0.006173372268676758,10367.105240798672
C,0.007694721221923828,8317.390345169486
C,0.002334117889404297,27419.351991828396
C,0.005779743194580078,11073.156340235953
B,0.0031037330627441406,20620.330004609004
A,0.003824949264526367,16732.248083276194
C,0.008365392684936523,7650.567332630319
C,0.015585899353027344,4106.275714373126
B,0.0023806095123291016,26883.871407110666
C,0.002382516860961914,26862.34924447113
B,0.002942800521850586,21747.991250101273
B,0.006422519683837891,9964.93637241072
C,0.008504629135131836,7525.313447898853
B,0.008722782135009766,7337.108620783906
C,0.0023784637451171875,26908.125100240577
C,0.0013628005981445312,46962.11616515045
A,0.002351522445678711,27216.410422792254
C,0.002315521240234375,27639.56507413509
C,0.001794576644897461,35663.007307028034
C,0.0028934478759765625,22118.940013183914
B,0.0039141178131103516,16351.066333678504
B,0.0028421878814697266,22517.86393758913
B,0.0048182010650634766,13282.965807313572
C,0.003549814224243164,18029.112499160456
C,0.006258964538574219,10225.333536492457
B,0.0022897720336914062,27950.38067471887
C,0.0010800361633300781,59257.27505518764
C,0.0010259151458740234,62383.326981175924
C,0.001522064208984375,42048.160401002504
C,0.002566099166870117,24940.579392362724
B,0.003101348876953125,20636.18204182042
A,0.001984834671020508,32244.49921921922
C,0.005297422409057617,12081.347315360726
C,0.01550602912902832,4127.426787828467
C,0.005074501037597656,12612.077429054689
C,0.0051076412200927734,12530.245810577417
B,0.002259969711303711,28318.96360375567
C,0.004883766174316406,13104.640499902363
B,0.0018682479858398438,34256.694231750895
C,0.0024480819702148438,26142.915465523958
C,0.002311229705810547,27690.886734062307
B,0.0023279190063476562,27492.365424006555
B,0.007914304733276367,8086.623166139479
C,0.003977060317993164,16092.2879923266
C,0.00745081901550293,8589.659722888868
B,0.004049062728881836,15806.127068244716
C,0.008173227310180664,7830.444152737668
A,0.008908271789550781,7184.334011347822
C,0.00870203971862793,7354.597550617825
A,0.009282827377319336,6894.451162193399
A,0.023073673248291016,2773.7239455248096
B,0.001965761184692383,32557.36276531231
B,0.002787351608276367,22960.863570267727
C,0.0029332637786865234,21818.699179062016
C,0.0018925666809082031,33816.509952129
C,0.00866556167602539,7385.557035162054
B,0.0056803226470947266,11266.965624344177
B,0.006551027297973633,9769.460130290789
C,0.008791685104370117,7279.605586440678
C,0.008091449737548828,7909.583829335847
B,0.008110284805297852,7891.214863156657
C,0.008173465728759766,7830.215740038504
C,0.0084381103515625,7584.636528028933
C,0.008265972137451172,7742.585982117104
A,0.008110761642456055,7890.750933301978
C,0.002582073211669922,24786.284025854107
C,0.0023925304412841797,26749.92087693074
C,0.00954747200012207,6703.345136721188
A,0.0018248558044433594,35071.26417559446
C,0.0028367042541503906,22561.393175323585
A,0.002315521240234375,27639.56507413509
C,0.0026063919067382812,24555.017929015732
B,0.0032134056091308594,19916.56447544146
C,0.008187294006347656,7816.990564938847
C,0.003642559051513672,17570.065191779027
B,0.0029883384704589844,21416.58337322483
C,0.0012829303741455078,49885.79371863966
A,0.002733469009399414,23413.47195813345
A,0.00760960578918457,8410.422533446126
B,0.008840799331665039,7239.1644238289155
C,0.007788658142089844,8217.076527488674
C,0.007508754730224609,8523.384009652633
C,0.008919954299926758,7174.92465185898
B,0.005566596984863281,11497.149905773515
B,0.0029201507568359375,21916.67668190725
A,0.0011398792266845703,56146.29910060657
C,0.001512289047241211,42319.95207315151
C,0.0028905868530273438,22140.83272847245
B,0.0033621788024902344,19035.275563749823
B,0.0073320865631103516,8728.756739179917
C,0.00669407844543457,9560.688677565267
C,0.007653713226318359,8361.954270761946
C,0.005469322204589844,11701.632781168266
C,0.003906726837158203,16382.000244110826
B,0.007827520370483398,8176.280222960007
B,0.007841825485229492,8161.364993463258
C,0.0016567707061767578,38629.364800690746
C,0.002154111862182617,29710.62047592695
C,0.0023431777954101562,27313.33496133496
C,0.0020143985748291016,31771.269499349037
B,0.002126932144165039,30090.287635915258
C,0.014456987380981445,4426.925078747299
C,0.0023391246795654297,27360.662113953724
A,0.007110118865966797,9001.25598551405
C,0.005026340484619141,12732.921734180818
A,0.002081632614135742,30745.09861413355
C,0.0019130706787109375,33454.06979062811
C,0.002317667007446289,27613.975516922128
B,0.0018754005432128906,34126.04322400203
C,0.007388591766357422,8662.002452404002
C,0.014893054962158203,4297.305029936286
A,0.003699779510498047,17298.328135068954
C,0.006735563278198242,9501.803688365013
C,0.007617473602294922,8401.735712050078
C,0.007266998291015625,8806.937532808399
B,0.01165461540222168,5491.386698852361
C,0.0021414756774902344,29885.933645067915
C,0.001445770263671875,44267.06068601583
B,0.008241653442382812,7765.432075908355
C,0.008413076400756836,7607.205373083571
C,0.0029954910278320312,21365.445399554283
