node,delay,bandwidth
A,0.0043218135833740234,14808.59800297898
B,0.009382963180541992,6820.872976750095
C,0.00556635856628418,11497.642352336488
C,0.008623600006103516,7421.494498202931
A,0.002988100051879883,21418.29218862204
C,0.009384393692016602,6819.833235944208
C,0.007764339447021484,8242.813240803293
C,0.008705615997314453,7351.576272114805
C,0.008128643035888672,7873.392855047809
C,0.00549626350402832,11644.274324382945
C,0.002416849136352539,26480.759198974054
A,0.005513906478881836,11607.015868897824
B,0.009178876876831055,6972.530611184706
C,0.008452415466308594,7571.800067697168
C,0.008124351501464844,7877.551825331611
A,0.008252859115600586,7754.888227646974
C,0.002341032028198242,27338.370098788066
C,0.009073019027709961,7053.881382209959
B,0.008962392807006836,7140.95012103961
A,0.008931636810302734,7165.539907105867
C,0.008503913879394531,7525.946394527307
C,0.009149789810180664,6994.69619824374
C,0.005872249603271484,10898.719285424278
A,0.0015215873718261719,42061.3375117518
C,0.008977413177490234,7129.00239018431
A,0.008919954299926758,7174.92465185898
C,0.008671045303344727,7380.886359262009
C,0.0074977874755859375,8535.85143729331
C,0.006577491760253906,9730.152820066696
B,0.008798599243164062,7273.885107305441
C,0.008657693862915039,7392.268774268168
C,0.007452249526977539,8588.010877563425
B,0.00846409797668457,7561.349145094505
A,0.008046865463256836,7953.40748422269
B,0.008986473083496094,7121.81513318476
C,0.008218765258789062,7787.0577860292415
C,0.007417440414428711,8628.313329690463
C,0.009032964706420898,7085.159975717264
B,0.009141206741333008,7001.263816801857
C,0.008756399154663086,7308.9404525281125
B,0.008904695510864258,7187.2193633029
B,0.01400136947631836,4570.981439226237
C,0.013284921646118164,4817.491717664794
C,0.03038620948791504,2106.2186129353704
C,0.009201288223266602,6955.547793641334
B,0.002918720245361328,21927.41839568698
B,0.008132457733154297,7869.699677513926
C,0.00762629508972168,8392.01725701066
B,0.002458810806274414,26028.842819742073
B,0.008959054946899414,7143.610612874897
C,0.008174657821655273,7829.073876396302
C,0.003922939300537109,16314.29779992707
C,0.005713224411010742,11202.080540833786
C,0.009113788604736328,7022.326584000419
B,0.00917196273803711,6977.786742916558
C,0.009085416793823242,7044.255806019892
C,0.008213043212890625,7792.483046911287
B,0.007881641387939453,8120.136003387985
B,0.009332656860351562,6857.639893725731
C,0.0047719478607177734,13411.714014489133
C,0.002142190933227539,29875.955036171395
A,0.002293825149536133,27900.993243945537
B,0.008587837219238281,7452.400222098834
C,0.008785724639892578,7284.544260515604
A,0.008806705474853516,7267.1897774649415
B,0.009087562561035156,7042.592507083639
C,0.007678985595703125,8334.434177844014
B,0.003045320510864258,21015.850309246067
C,0.004322052001953125,14807.781112091792
A,0.008433818817138672,7588.495957482897
A,0.008095264434814453,7905.856629557637
A,0.007732868194580078,8276.359869272985
A,0.004418134689331055,14485.751227672548
C,0.008068084716796875,7932.489834515366
C,0.008572578430175781,7465.66514628991
C,0.009141683578491211,7000.898625563988
C,0.007694721221923828,8317.390345169486
C,0.0040798187255859375,15686.971482000936
B,0.009076118469238281,7051.472522853841
B,0.0076694488525390625,8344.79781148968
B,0.007657289505004883,8358.04888376872
C,0.004213571548461914,15189.014655123636
B,0.0023314952850341797,27450.19490745475
C,0.0033974647521972656,18837.57585964912
B,0.003053903579711914,20956.784760715123
B,0.0022182464599609375,28851.61822871883
A,0.0009913444519042969,64558.79172679173
B,0.0010254383087158203,62412.33573587538
C,0.0035903453826904297,17825.58310644797
C,0.006159543991088867,10390.379562608863
C,0.007850170135498047,8152.689546255239
C,0.0018367767333984375,34843.64693665628
A,0.002039670944213867,31377.610286382234
C,0.0023179054260253906,27611.135157375025
C,0.002198457717895508,29111.317210714675
C,0.002762317657470703,23168.950112204384
B,0.002898693084716797,22078.91561112025
A,0.00659942626953125,9697.812716763006
B,0.0028536319732666016,22427.559194586014
C,0.002524137496948242,25355.195617266458
C,0.0014774799346923828,43317.00112957883
C,0.002835512161254883,22570.87833179181
C,0.0021610260009765625,29615.562224183584
C,0.0026264190673828125,24367.779230210603
B,0.0025680065155029297,24922.055148082814
B,0.0012726783752441406,50287.646309479205
A,0.0011763572692871094,54405.24037292258
B,0.0027120113372802734,23598.721406593406
B,0.004411220550537109,14508.456166900876
B,0.0030031204223632812,21311.166719593522
C,0.0026361942291259766,24277.42208555666
A,0.001781463623046875,35925.516059957175
A,0.003423929214477539,18691.97521063993
C,0.0032148361206054688,19907.702165529518
C,0.003246784210205078,19711.812013511528
C,0.002391815185546875,26757.920255183413
B,0.0028154850006103516,22731.42992632738
C,0.0009925365447998047,64481.252942589475
C,0.004603862762451172,13901.37006732263
C,0.006318807601928711,10128.493227181829
C,0.0014913082122802734,42915.34068745004
C,0.006319761276245117,10126.96480175048
A,0.008027076721191406,7973.014613282642
B,0.006301164627075195,10156.852548337054
C,0.0028879642486572266,22160.93915627838
C,0.003824949264526367,16732.248083276194
C,0.002328634262084961,27483.92095832907
B,0.0026941299438476562,23755.350088495576
C,0.002551555633544922,25082.737432255653
C,0.004198551177978516,15243.353549119818
C,0.0065991878509521484,9698.163083926442
A,0.007265329360961914,8808.960588061562
C,0.0018489360809326172,34614.501096067055
C,0.007887601852416992,8113.999818637971
C,0.002184152603149414,29301.981879707455
A,0.0027375221252441406,23378.806479707368
C,0.002107858657836914,30362.56713041511
C,0.002866029739379883,22330.54288328758
C,0.003122568130493164,20495.94991219363
C,0.008160829544067383,7842.340004090099
C,0.011789798736572266,5428.421759352882
C,0.006292104721069336,10171.477246030843
B,0.008459806442260742,7565.184905447679
C,0.0035414695739746094,18071.59391409721
C,0.002680063247680664,23880.03344898141
A,0.0052509307861328125,12188.315292408282
C,0.006751060485839844,9479.992089278147
C,0.004948616027832031,12932.908845634996
C,0.006833314895629883,9365.878929555842
B,0.0027418136596679688,23342.213565217393
B,0.008215665817260742,7789.995530920804
A,0.007979154586791992,8020.899871515224
B,0.003348827362060547,19111.167307418484
C,0.007616758346557617,8402.52468150374
B,0.005132198333740234,12470.289696181362
C,0.004709005355834961,13590.980507316086
B,0.007962226867675781,8037.952329620314
A,0.006454944610595703,9914.879810888675
C,0.008174896240234375,7828.845543630425
A,0.006479740142822266,9876.939289130914
B,0.00900721549987793,7105.414542470685
B,0.0037615299224853516,17014.353552639917
C,0.0019805431365966797,32314.36812326953
C,0.0015869140625,40329.846153846156
