node,delay,bandwidth
A,0.028986692428588867,2207.909721251203
B,0.027831554412841797,2299.5481693422653
C,0.020643949508666992,3100.1819672699135
C,0.00753021240234375,8499.096251266465
B,0.008104085922241211,7897.250919361008
A,0.00840616226196289,7613.462363151625
C,0.009906291961669922,6460.540457280385
C,0.009963035583496094,6423.7449985641815
A,0.009322166442871094,6865.356930946292
B,0.006556272506713867,9761.644277973744
C,0.009748697280883789,6564.979725598571
B,0.008853912353515625,7228.442912537699
B,0.007610321044921875,8409.632080200501
B,0.007851362228393555,8151.451702043667
B,0.007898330688476562,8102.978024631731
A,0.00904393196105957,7076.568054200828
B,0.009432077407836914,6785.355678572331
B,0.0075490474700927734,8477.890787354325
A,0.00862264633178711,7422.31532378477
B,0.0081024169921875,7898.87758945386
A,0.009166240692138672,6982.142641627217
C,0.009509563446044922,6730.067091209949
A,0.008454561233520508,7569.878345224331
C,0.003992795944213867,16028.868215202723
C,0.009372949600219727,6828.160048838807
C,0.008604764938354492,7437.7394918400705
C,0.00783681869506836,8166.579129905689
B,0.008313894271850586,7697.956926959365
A,0.007660865783691406,8354.147143034981
C,0.009340286254882812,6852.038390851541
B,0.007916927337646484,8083.944347407095
B,0.009067535400390625,7058.147244425747
C,0.007792234420776367,8213.30526573448
B,0.009265422821044922,6907.401986516391
A,0.009430885314941406,6786.213368389119
B,0.008562564849853516,7474.395945870691
C,0.007694721221923828,8317.390345169486
C,0.009112358093261719,7023.428990057561
A,0.008653879165649414,7395.527343857619
A,0.007909059524536133,8091.986133301179
C,0.008266925811767578,7741.692795754744
C,0.007589578628540039,8432.615713253543
C,0.010622978210449219,6024.675823682557
A,0.010812997817993164,5918.802637091262
B,0.0077228546142578125,8287.091133613238
B,0.007797718048095703,8207.52938298783
A,0.00859832763671875,7443.3078970718725
A,0.008753061294555664,7311.727616920437
C,0.009246587753295898,6921.472191424077
B,0.009199380874633789,6956.989918362058
A,0.008660078048706055,7390.233626077141
B,0.009039163589477539,7080.3011104370535
A,0.009044885635375977,7075.821915280597
C,0.00744938850402832,8591.309201472235
C,0.009299516677856445,6882.078092552237
A,0.008494853973388672,7533.9729441481895
