node,delay,bandwidth
C,0.05903482437133789,1084.105876176245
B,0.0601041316986084,1064.8186437652473
A,0.0648508071899414,986.8805458743253
C,0.011465787887573242,5581.823126988418
B,0.05080366134643555,1259.7517246557727
A,0.008402109146118164,7617.135041570898
A,0.008551597595214844,7483.981710717074
A,0.025534629821777344,2506.4001493930905
B,0.007579803466796875,8443.49068948163
B,0.009598016738891602,6668.044215912761
C,0.008814811706542969,7260.50676187385
A,0.006882905960083008,9298.398143337143
B,0.0034608840942382812,18492.384678974926
A,0.007855415344238281,8147.245841932742
A,0.0077593326568603516,8248.132001843602
B,0.008291482925415039,7718.764010696725
C,0.008907079696655273,7185.29553788913
C,0.0084686279296875,7557.304504504505
A,0.008980989456176758,7126.163582786907
B,0.00928044319152832,6896.222376364804
A,0.007810354232788086,8194.250618150738
B,0.009012222290039062,7101.46708994709
C,0.007945537567138672,8054.83574386365
C,0.013221025466918945,4840.774277315925
B,0.009173154830932617,6976.879948018193
C,0.008254289627075195,7753.544265041449
A,0.008131980895996094,7870.161135217544
B,0.004456520080566406,14360.980954419003
C,0.007137775421142578,8966.379050036743
A,0.009057998657226562,7065.578437565803
C,0.00800776481628418,7992.242712954417
C,0.00870513916015625,7351.978965819457
C,0.008804082870483398,7269.354564410864
C,0.00899648666381836,7113.888164520062
A,0.008265972137451172,7742.585982117104
C,0.007718563079833984,8291.698770618397
A,0.0045604705810546875,14033.63948138854
A,0.00812840461730957,7873.62379374065
A,0.01585102081298828,4037.594849888695
A,0.0077362060546875,8272.788954635109
C,0.00762629508972168,8392.01725701066
C,0.0076487064361572266,8367.427948006609
C,0.018682479858398438,3425.6694231750894
B,0.007915258407592773,8085.648844844724
C,0.008538961410522461,7495.056708083205
B,0.008841753005981445,7238.383605231225
C,0.00780487060546875,8200.007820136852
C,0.009305238723754883,6877.8461144277335
B,0.007643222808837891,8373.431156029696
B,0.008635759353637695,7411.044863476988
B,0.009167909622192383,6980.871609497309
B,0.013216733932495117,4842.346099034906
C,0.009147405624389648,6996.519300440483
C,0.0075261592864990234,8503.673329743086
B,0.00878453254699707,7285.532799565748
A,0.00904226303100586,7077.8741760269995
A,0.009246110916137695,6921.8291431371035
A,0.008059263229370117,7941.172558648641
A,0.008166313171386719,7837.073922690646
C,0.009100198745727539,7032.813434986508
A,0.008945226669311523,7154.653802073616
C,0.004899024963378906,13063.82402180261
A,0.00815892219543457,7844.173343853189
B,0.007938623428344727,8061.851097696489
C,0.007634401321411133,8383.106586302738
B,0.007802009582519531,8203.014790367926
C,0.008449077606201172,7574.791353913878
C,0.007628440856933594,8389.656707088387
B,0.009658098220825195,6626.563380977067
B,0.009027481079101562,7089.463765053877
C,0.003942251205444336,16234.378953734502
B,0.008282899856567383,7726.762499640195
C,0.008650064468383789,7398.788787519638
A,0.008712530136108398,7345.742166762444
A,0.02882695198059082,2220.14453845454
C,0.008837461471557617,7241.89861601964
C,0.0077152252197265625,8295.286032138443
A,0.007678985595703125,8334.434177844014
B,0.009279489517211914,6896.931116877778
B,0.011302947998046875,5662.239622004725
C,0.008886098861694336,7202.260631590244
C,0.007893085479736328,8108.362713707485
A,0.009118318557739258,7018.837913452739
B,0.007697343826293945,8314.556481338082
B,0.0065462589263916016,9776.576319335689
C,0.009119510650634766,7017.920418300653
A,0.009334802627563477,6856.0635455776055
B,0.007954120635986328,8046.1439961633
C,0.0072383880615234375,8841.747562582344
C,0.008493423461914062,7535.241859420616
C,0.00857234001159668,7465.872785426227
C,0.009701251983642578,6597.086655197837
A,0.008769989013671875,7297.614615050022
A,0.00831460952758789,7697.294718128119
C,0.0077435970306396484,8264.892884633147
A,0.009305477142333984,6877.669894952601
A,0.008960247039794922,7142.660209674845
C,0.008353948593139648,7661.047860954936
C,0.008707284927368164,7350.167191478875
C,0.009094715118408203,7037.053845750537
C,0.007630348205566406,8387.559555055617
B,0.008000612258911133,7999.387787942903
C,0.007899045944213867,8102.244302918717
C,0.00813150405883789,7870.622647041576
C,0.007492780685424805,8541.555223215706
C,0.015991926193237305,4002.019470741707
B,0.007909774780273438,8091.254400771642
A,0.006597042083740234,9701.317528008674
A,0.00907135009765625,7055.179142136249
A,0.008107662200927734,7893.767452802446
C,0.00831913948059082,7693.103373169403
B,0.008049726486206055,7950.580694843467
B,0.009541511535644531,6707.532633683159
