data, bandwidth
ask|1 1|DEPOSIT f 55|1|1|1681478715.5846164|                                                                                    ,788356.6989720998
ask|1 1|DEPOSIT f 55|1|1|1681478715.5846164|                                                                                    ,1009155.8496240601
ask|1 2|DEPOSIT a 40|2|1|1681478715.5852194|                                                                                    ,509365.1916508539
ask|1 2|DEPOSIT a 40|2|1|1681478715.5852194|                                                                                    ,641422.8339307049
ask|1 3|TRANSFER f -> e 20|3|1|1681478715.5857308|                                                                              ,5802.62977454011
ask|1 3|TRANSFER f -> e 20|3|1|1681478715.5857308|                                                                              ,5627.459717825622
feedback|2 1|1|1|1|1681478715.607959|                                                                                           ,55176.86659815005
feedback|3 1|2|1|1|1681478715.6085107|                                                                                          ,36819.89657773815
feedback|2 1|1|1|1|1681478715.607959|                                                                                           ,35430.00805121098
ask|2 1|DEPOSIT k 7|1|1|1681478715.6086366|                                                                                     ,23622.60359924319
feedback|3 1|2|1|1|1681478715.6085107|                                                                                          ,21615.77130893425
ask|3 1|DEPOSIT j 90|1|1|1681478715.6089034|                                                                                    ,18590.356729803665
ask|2 1|DEPOSIT k 7|1|1|1681478715.6086366|                                                                                     ,15978.300952380952
feedback|2 2|3|1|1|1681478715.6107113|                                                                                          ,19848.821058858324
feedback|2 1|1|3|1|1681478715.6113846|                                                                                          ,17133.81349332993
ask|3 1|DEPOSIT j 90|1|1|1681478715.6089034|                                                                                    ,13700.579594753228
ask|2 2|DEPOSIT p 29|2|1|1681478715.61147|                                                                                      ,14605.950213564764
feedback|2 2|3|1|1|1681478715.6107113|                                                                                          ,12517.683135535919
feedback|3 1|1|2|1|1681478715.6141768|                                                                                          ,16810.31130037261
feedback|2 2|2|3|1|1681478715.6153016|                                                                                          ,16853.583801601006
feedback|2 1|1|3|1|1681478715.6113846|                                                                                          ,10696.55739076727
feedback|1 1|2|2|1|1681478715.618859|                                                                                           ,23117.07337237341
ask|2 2|DEPOSIT p 29|2|1|1681478715.61147|                                                                                      ,9317.763754382311
decided|1 1|3|3|1|1681478715.6213253|                                                                                           ,27718.050080024783
feedback|3 1|1|2|1|1681478715.6141768|                                                                                          ,9917.810389418459
feedback|2 2|2|3|1|1681478715.6153016|                                                                                          ,10064.505408394729
feedback|1 1|2|2|1|1681478715.618859|                                                                                           ,12341.576331578584
decided|1 1|3|3|1|1681478715.6213253|                                                                                           ,14400.271230084223
feedback|1 1|3|3|1|1681478715.6217554|                                                                                          ,15058.225450873699
feedback|1 2|3|2|1|1681478715.6241703|                                                                                          ,15994.009354425478
feedback|1 1|3|3|1|1681478715.6217554|                                                                                          ,10501.758773130941
decided|1 2|4|3|1|1681478715.6252904|                                                                                           ,15660.888305475337
feedback|1 2|3|2|1|1681478715.6241703|                                                                                          ,11569.496422722179
decided|1 2|4|3|1|1681478715.6252904|                                                                                           ,11718.23446469497
feedback|1 2|4|3|1|1681478715.6256487|                                                                                          ,11173.63702963703
feedback|1 3|5|3|1|1681478715.628879|                                                                                           ,14134.877362961402
feedback|1 2|4|3|1|1681478715.6256487|                                                                                          ,10041.915193685352
decided|1 3|5|3|1|1681478715.629594|                                                                                            ,14021.910572503135
feedback|1 3|5|3|1|1681478715.628879|                                                                                           ,12845.030912049
decided|1 3|5|3|1|1681478715.629594|                                                                                            ,13436.55300830914
feedback|1 3|4|2|1|1681478715.6298125|                                                                                          ,10825.319837077066
decided|2 1|1|1|1|1681478715.6332905|                                                                                           ,14432.401731229334
feedback|1 3|4|2|1|1681478715.6298125|                                                                                          ,9961.238533471871
